Date,Close/Last
02/01/2021,$839.81
03/01/2021,$718.43
04/01/2021,$661.75
06/01/2021,$623.9
07/01/2021,$677.92
09/01/2021,$734.09
10/01/2021,$775.22
11/01/2021,$1208.59
12/01/2021,$1095
02/02/2021,$872.79
03/02/2021,$686.44
06/02/2021,$605.12
07/02/2021,$678.9
08/02/2021,$709.67
09/02/2021,$732.39
11/02/2021,$1172
12/02/2021,$1084.6
02/03/2021,$854.69
03/03/2021,$653.2
05/03/2021,$684.9
06/03/2021,$572.84
08/03/2021,$709.74
09/03/2021,$733.57
11/03/2021,$1213.86
12/03/2021,$1014.97
01/04/2021,$729.77
02/04/2021,$849.99
03/04/2021,$621.44
05/04/2021,$673.6
06/04/2021,$599.05
08/04/2021,$710.92
10/04/2021,$781.53
11/04/2021,$1229.91
01/05/2021,$735.11
02/05/2021,$852.23
03/05/2021,$597.95
04/05/2021,$691.05
05/05/2021,$670.94
08/05/2021,$714.63
10/05/2021,$780.59
11/05/2021,$1222.09
01/06/2021,$755.98
04/06/2021,$691.62
05/06/2021,$663.54
07/06/2021,$659.58
08/06/2021,$699.1
10/06/2021,$782.75
12/06/2021,$1009.01
01/07/2021,$816.04
04/07/2021,$670.97
05/07/2021,$672.37
06/07/2021,$605.13
07/07/2021,$644.65
09/07/2021,$752.92
10/07/2021,$793.61
12/07/2021,$1051.75
01/08/2021,$880.02
02/08/2021,$863.42
03/08/2021,$563
04/08/2021,$683.8
06/08/2021,$603.59
07/08/2021,$652.81
09/08/2021,$753.87
10/08/2021,$785.49
11/08/2021,$1162.94
12/08/2021,$1068.96
02/09/2021,$849.46
03/09/2021,$673.58
04/09/2021,$677.02
06/09/2021,$598.78
07/09/2021,$656.95
08/09/2021,$713.76
09/09/2021,$754.86
11/09/2021,$1023.5
12/09/2021,$1003.8
02/10/2021,$804.82
03/10/2021,$668.06
05/10/2021,$629.04
06/10/2021,$610.12
08/10/2021,$709.99
09/10/2021,$736.27
11/10/2021,$1067.95
12/10/2021,$1017.03
01/11/2021,$811.19
02/11/2021,$811.66
03/11/2021,$699.6
05/11/2021,$617.2
06/11/2021,$609.89
08/11/2021,$707.82
10/11/2021,$791.94
11/11/2021,$1063.51
01/12/2021,$849.44
02/12/2021,$816.12
03/12/2021,$693.73
04/12/2021,$701.98
05/12/2021,$589.89
07/12/2021,$685.7
08/12/2021,$722.25
10/12/2021,$805.72
11/12/2021,$1033.42
01/13/2021,$854.41
01/14/2021,$845
01/15/2021,$826.16
01/19/2021,$844.55
01/20/2021,$850.45
01/21/2021,$844.99
01/22/2021,$846.64
01/25/2021,$880.8
01/26/2021,$883.09
01/27/2021,$864.16
01/28/2021,$835.43
01/29/2021,$793.53
02/16/2021,$796.22
02/17/2021,$798.15
02/18/2021,$787.38
02/19/2021,$781.3
02/22/2021,$714.5
02/23/2021,$698.84
02/24/2021,$742.02
02/25/2021,$682.22
02/26/2021,$675.5
03/15/2021,$707.94
03/16/2021,$676.88
03/17/2021,$701.81
03/18/2021,$653.16
03/19/2021,$654.87
03/22/2021,$670
03/23/2021,$662.16
03/24/2021,$630.27
03/25/2021,$640.39
03/26/2021,$618.71
03/29/2021,$611.29
03/30/2021,$635.62
03/31/2021,$667.93
04/13/2021,$762.32
04/14/2021,$732.23
04/15/2021,$738.85
04/16/2021,$739.78
04/19/2021,$714.63
04/20/2021,$718.99
04/21/2021,$744.12
04/22/2021,$719.69
04/23/2021,$729.4
04/26/2021,$738.2
04/27/2021,$704.74
04/28/2021,$694.4
04/29/2021,$677
04/30/2021,$709.44
05/13/2021,$571.69
05/14/2021,$589.74
05/17/2021,$576.83
05/18/2021,$577.87
05/19/2021,$563.46
05/20/2021,$586.78
05/21/2021,$580.88
05/24/2021,$606.44
05/25/2021,$604.69
05/26/2021,$619.13
05/27/2021,$630.85
05/28/2021,$625.22
06/14/2021,$617.69
06/15/2021,$599.36
06/16/2021,$604.87
06/17/2021,$616.6
06/18/2021,$623.31
06/21/2021,$620.83
06/22/2021,$623.71
06/23/2021,$656.57
06/24/2021,$679.82
06/25/2021,$671.87
06/28/2021,$688.72
06/29/2021,$680.76
06/30/2021,$679.7
07/13/2021,$668.54
07/14/2021,$653.38
07/15/2021,$650.6
07/16/2021,$644.22
07/19/2021,$646.22
07/20/2021,$660.5
07/21/2021,$655.29
07/22/2021,$649.26
07/23/2021,$643.38
07/26/2021,$657.62
07/27/2021,$644.78
07/28/2021,$646.98
07/29/2021,$677.35
07/30/2021,$687.2
08/13/2021,$717.17
08/16/2021,$686.17
08/17/2021,$665.71
08/18/2021,$688.99
08/19/2021,$673.47
08/20/2021,$680.26
08/23/2021,$706.3
08/24/2021,$708.49
08/25/2021,$711.2
08/26/2021,$701.16
08/27/2021,$711.92
08/30/2021,$730.91
08/31/2021,$735.72
09/13/2021,$743
09/14/2021,$744.49
09/15/2021,$755.83
09/16/2021,$756.99
09/17/2021,$759.49
09/20/2021,$730.17
09/21/2021,$739.38
09/22/2021,$751.94
09/23/2021,$753.64
09/24/2021,$774.39
09/27/2021,$791.36
09/28/2021,$777.56
09/29/2021,$781.31
09/30/2021,$775.48
10/13/2021,$811.08
10/14/2021,$818.32
10/15/2021,$843.03
10/18/2021,$870.11
10/19/2021,$864.27
10/20/2021,$865.8
10/21/2021,$894
10/22/2021,$909.68
10/25/2021,$1024.86
10/26/2021,$1018.43
10/27/2021,$1037.86
10/28/2021,$1077.04
10/29/2021,$1114
11/15/2021,$1013.39
11/16/2021,$1054.73
11/17/2021,$1089.01
11/18/2021,$1096.38
11/19/2021,$1137.06
11/22/2021,$1156.87
11/23/2021,$1109.03
11/24/2021,$1116
11/26/2021,$1081.92
11/29/2021,$1136.99
11/30/2021,$1144.76
12/13/2021,$966.41
12/14/2021,$958.51
12/15/2021,$975.99
12/16/2021,$926.92
12/17/2021,$932.57
12/20/2021,$899.94
12/21/2021,$938.53
12/22/2021,$1008.87
12/23/2021,$1067
12/27/2021,$1093.94
12/28/2021,$1088.47
12/29/2021,$1086.19
12/30/2021,$1070.34
12/31/2021,$1056.78
