Date,Close/Last,Volume,Open,High,Low
12/31/2021,$3334.34,2386287,$3379.12,$3387,$3331.17
12/30/2021,$3372.89,1879155,$3394,$3417.76,$3370.48
12/29/2021,$3384.02,1787702,$3416.8,$3424.24,$3372.0101
12/28/2021,$3413.22,2735593,$3403.65,$3443.5176,$3382.71
12/27/2021,$3393.39,2942341,$3420.74,$3458.86,$3384.31
12/23/2021,$3421.37,1839412,$3408.56,$3439.5,$3403
12/22/2021,$3420.74,2751773,$3385.395,$3441,$3370.01
12/21/2021,$3408.34,2797791,$3357.01,$3414.3299,$3312.95
12/20/2021,$3341.58,2868633,$3337,$3357.4851,$3312
12/17/2021,$3400.35,4287758,$3354.21,$3417.97,$3312.271
12/16/2021,$3377.42,3043842,$3467.371,$3483.32,$3363.205
12/15/2021,$3466.3,3789713,$3371.96,$3472,$3303.9
12/14/2021,$3381.83,2798764,$3351,$3389.98,$3328.8
12/13/2021,$3391.35,3108450,$3440,$3442,$3382.6
12/10/2021,$3444.24,3034488,$3508.34,$3518.54,$3410
12/09/2021,$3483.42,2303091,$3515,$3539.39,$3482.79
12/08/2021,$3523.16,2262683,$3523.01,$3543.6,$3495.01
12/07/2021,$3523.29,3320536,$3492,$3549.99,$3466.69
12/06/2021,$3427.37,3443000,$3393,$3473.91,$3338.69
12/03/2021,$3389.79,4035550,$3455,$3469.865,$3338.6
12/02/2021,$3437.36,3236288,$3460,$3492.7,$3423.75
12/01/2021,$3443.72,3756995,$3545,$3559.88,$3441.6
11/30/2021,$3507.07,4001107,$3563.5,$3585.77,$3492.01
11/29/2021,$3561.57,3265557,$3547.6443,$3596,$3531.5001
11/26/2021,$3504.56,2991297,$3602.095,$3633.5,$3504.15
11/24/2021,$3580.41,2328018,$3562.67,$3613.64,$3536.85
11/23/2021,$3580.04,3692246,$3585.04,$3621.05,$3527.71
11/22/2021,$3572.57,4847850,$3676.377,$3713.455,$3567.5
11/19/2021,$3676.57,4946203,$3712.69,$3762.145,$3675.72
11/18/2021,$3696.06,5703538,$3566.35,$3704.2,$3561
11/17/2021,$3549,2560270,$3564.72,$3587.245,$3545.35
11/16/2021,$3540.7,2217071,$3539,$3576.5,$3525.1466
11/15/2021,$3545.68,2929719,$3537,$3593.88,$3525.81
11/12/2021,$3525.15,2689434,$3485,$3540.7262,$3447.05
11/11/2021,$3472.5,2264406,$3513,$3543.24,$3467.47
11/10/2021,$3482.05,4027422,$3563.87,$3605.45,$3463.09
11/09/2021,$3576.23,4294922,$3515.25,$3593.77,$3501.425
11/08/2021,$3488.98,3073992,$3523.24,$3579,$3487.86
11/05/2021,$3518.99,4996951,$3477,$3566.25,$3476.98
11/04/2021,$3477,5353020,$3370,$3498.625,$3365.0001
11/03/2021,$3384,3397189,$3309,$3394.92,$3297.52
11/02/2021,$3312.75,2627590,$3315.01,$3331.115,$3283.55
11/01/2021,$3318.11,3608879,$3361.8,$3375.86,$3292.02
10/29/2021,$3372.43,6486077,$3300.02,$3374.82,$3273.32
10/28/2021,$3446.57,5708733,$3402.095,$3479,$3386
10/27/2021,$3392.49,2702224,$3388,$3437,$3371.4534
10/26/2021,$3376.07,2698342,$3349.51,$3416.12,$3343.98
10/25/2021,$3320.37,2225956,$3335,$3347.7997,$3297.7
10/22/2021,$3335.55,3139053,$3421,$3429.84,$3331.3
10/21/2021,$3435.01,1881385,$3414.25,$3440.28,$3403
10/20/2021,$3415.06,2139777,$3452.66,$3462.86,$3400.37
10/19/2021,$3444.15,2386079,$3434.29,$3454.69,$3422
10/18/2021,$3446.74,3174115,$3388.358,$3449.17,$3385.1
10/15/2021,$3409.02,5179941,$3311.42,$3410.42,$3304
10/14/2021,$3299.86,2112020,$3302.454,$3312.6,$3290.78
10/13/2021,$3284.28,2425086,$3269.71,$3288.38,$3261.0889
10/12/2021,$3247.33,1819571,$3257,$3267.528,$3236.28
10/11/2021,$3246.3,2034203,$3275,$3292.5899,$3238.1
10/08/2021,$3288.62,1998217,$3317,$3321.43,$3288.2
10/07/2021,$3302.43,2409075,$3291.54,$3325.746,$3283.06
10/06/2021,$3262.01,2532977,$3213.53,$3264.34,$3198.62
10/05/2021,$3221,3269208,$3204.5,$3260.73,$3202.464
10/04/2021,$3189.78,4523057,$3279.39,$3279.99,$3176.25
10/01/2021,$3283.26,2835617,$3289.01,$3309.1746,$3255.94
09/30/2021,$3285.04,2847033,$3316,$3327.85,$3273.99
09/29/2021,$3301.12,2562268,$3322.11,$3351.3,$3297.87
09/28/2021,$3315.96,4430819,$3357.71,$3369.19,$3290.1001
09/27/2021,$3405.8,3634450,$3371.5,$3415.57,$3339.61
09/24/2021,$3425.52,2116241,$3402.01,$3429.26,$3393.4
09/23/2021,$3416,2379414,$3380.05,$3428.96,$3380.05
09/22/2021,$3380.05,2411403,$3351,$3389,$3341.05
09/21/2021,$3343.63,2780878,$3375,$3379.7,$3332.39
09/20/2021,$3355.73,4669130,$3396,$3419,$3305.01
09/17/2021,$3462.52,4616556,$3488.415,$3497.41,$3452.13
09/16/2021,$3488.24,2583598,$3459.96,$3492.55,$3446.1432
09/15/2021,$3475.79,2957537,$3442.52,$3485.42,$3402.01
09/14/2021,$3450,1936897,$3475.55,$3486.806,$3437.7104
09/13/2021,$3457.17,2569022,$3482.8,$3497.96,$3438.0001
09/10/2021,$3469.15,2397269,$3501.8308,$3508.45,$3462.9055
09/09/2021,$3484.16,2719241,$3526.02,$3549.99,$3480.37
09/08/2021,$3525.5,3053364,$3511.65,$3545.63,$3495.67
09/07/2021,$3509.29,2741184,$3478,$3528.09,$3476.94
09/03/2021,$3478.05,2578324,$3452,$3482.67,$3436.44
09/02/2021,$3463.12,2925594,$3494.76,$3511.9608,$3455
09/01/2021,$3479,3629911,$3496.396,$3527,$3475.24
08/31/2021,$3470.79,4356413,$3424.8,$3472.58,$3395.59
08/30/2021,$3421.57,3192244,$3357.425,$3445,$3355.22
08/27/2021,$3349.63,2402369,$3333.23,$3352.32,$3313.75
08/26/2021,$3316,2098761,$3299,$3332,$3296
08/25/2021,$3299.18,1680306,$3309.87,$3321,$3286.15
08/24/2021,$3305.78,2551841,$3280,$3315.4942,$3274.58
08/23/2021,$3265.87,3268131,$3211.9,$3280.9,$3210.005
08/20/2021,$3199.95,3358428,$3203.873,$3207.81,$3175.76
08/19/2021,$3187.75,3782862,$3194.02,$3233,$3182.4637
08/18/2021,$3201.22,2804311,$3241.99,$3254.0975,$3200
08/17/2021,$3241.96,3387922,$3277.5,$3280.49,$3225.68
08/16/2021,$3298.99,3328494,$3283,$3300,$3211.13
08/13/2021,$3293.97,2056699,$3305.67,$3306.065,$3283
08/12/2021,$3303.5,2323823,$3290,$3314.51,$3269.67
08/11/2021,$3292.11,2947249,$3331.447,$3337.7,$3277.79
08/10/2021,$3320.68,2412551,$3345.01,$3358,$3315
08/09/2021,$3341.87,2148220,$3343.61,$3354.88,$3328.52
08/06/2021,$3344.94,2637644,$3375,$3375,$3329.0373
08/05/2021,$3375.99,2433503,$3356.22,$3389,$3340.92
08/04/2021,$3354.72,2183945,$3379.35,$3388.88,$3345.56
08/03/2021,$3366.24,4157343,$3340.72,$3391,$3299.77
08/02/2021,$3331.48,3353915,$3353.1,$3358.92,$3317
07/30/2021,$3327.59,9965593,$3347.95,$3368.14,$3306.98
07/29/2021,$3599.92,5519952,$3627.75,$3637.95,$3580.01
07/28/2021,$3630.32,2999378,$3633.78,$3658.4204,$3601
07/27/2021,$3626.39,4131890,$3698.5,$3698.5,$3586.15
07/26/2021,$3699.82,2900068,$3673.17,$3712.08,$3647.25
07/23/2021,$3656.64,2436292,$3640,$3666.11,$3622.04
07/22/2021,$3638.03,3265352,$3587.23,$3640.02,$3582.27
07/21/2021,$3585.2,2318989,$3576.375,$3586.45,$3543.6415
07/20/2021,$3573.19,3255680,$3567.32,$3592,$3518
07/19/2021,$3549.59,3784595,$3532.58,$3550.21,$3499.16
07/16/2021,$3573.63,4043706,$3633.31,$3646.0599,$3570.455
07/15/2021,$3631.2,3185292,$3694.2,$3695.4,$3620.92
07/14/2021,$3681.68,3296568,$3708.85,$3717.66,$3660.8266
07/13/2021,$3677.36,3845917,$3702.1,$3773.0782,$3671.32
07/12/2021,$3718.55,2571635,$3744,$3757.2899,$3696.7929
07/09/2021,$3719.34,3748237,$3722.52,$3748,$3693.3968
07/08/2021,$3731.41,5180623,$3643.56,$3759.9855,$3621.12
07/07/2021,$3696.58,5328062,$3717.377,$3734.2,$3678.91
07/06/2021,$3675.74,6744768,$3530.11,$3685.48,$3529
07/02/2021,$3510.98,3176697,$3451.64,$3511.72,$3436.92
07/01/2021,$3432.97,2037053,$3434.61,$3457,$3409.4206
06/30/2021,$3440.16,2403992,$3441.06,$3471.6019,$3435
06/29/2021,$3448.14,2098439,$3438.82,$3456.03,$3423.03
06/28/2021,$3443.89,2242793,$3416,$3448,$3413.5098
06/25/2021,$3401.46,3940997,$3464,$3464.82,$3394.18
06/24/2021,$3449.08,3831999,$3507.64,$3524.8599,$3430.85
06/23/2021,$3503.82,2813341,$3505,$3521,$3483.2
06/22/2021,$3505.44,3345082,$3458.06,$3523.78,$3456.09
