month,close,open,high,low
1,131.96,135.83,136.74,130.21
2,121.26,122.59,124.85,121.2
3,122.15,121.65,123.52,121.15
4,131.46,131.78,133.56,131.07
5,124.61,125.57,125.8,124.55
6,136.96,136.17,137.41,135.87
7,145.86,144.38,146.33,144.11
8,151.83,152.66,152.8,151.29
9,141.5,143.66,144.38,141.28
10,149.8,147.22,149.94,146.41
11,165.3,159.99,165.52,159.92
12,177.57,178.09,179.23,177.26
