,Apple,AMD,Amazon,Cisco,Meta,Microsoft,Starbucks,Tesla,Qualcomm
10-Feb,135.39,92.35,3286.58,47.24,271.87,242.82,105.87,804.82,145.50
11-Feb,135.13,92.66,3262.13,47.58,270.39,244.49,105.86,811.66,145.56
12-Feb,135.37,93.77,3277.71,47.29,270.50,244.99,105.30,816.12,147.98
16-Feb,133.19,91.46,3268.95,46.51,273.97,243.70,106.15,796.22,147.16
17-Feb,130.84,89.94,3308.64,46.25,273.57,244.20,104.44,798.15,144.75
18-Feb,129.71,88.64,3328.23,46.34,269.39,243.79,104.97,787.38,143.91
19-Feb,129.87,89.58,3249.90,45.68,261.56,240.97,103.37,781.30,144.94
22-Feb,126.00,85.37,3180.74,45.43,260.33,234.51,101.81,714.50,139.46
23-Feb,125.86,84.74,3194.50,45.51,265.86,233.27,101.37,698.84,137.12
24-Feb,125.35,86.94,3159.53,45.74,264.31,234.55,104.38,742.02,141.10
25-Feb,120.99,82.42,3057.16,45.52,254.69,228.99,103.47,682.22,135.53
26-Feb,121.26,84.51,3092.93,44.87,257.62,232.38,108.03,675.50,136.19
01-Mar,127.79,86.39,3146.14,45.92,264.91,236.94,106.87,718.43,139.49
02-Mar,125.12,84.13,3094.53,45.52,259.00,233.87,107.20,686.44,137.04
03-Mar,122.06,80.86,3005.00,45.13,255.41,227.56,106.22,653.20,131.66
04-Mar,120.13,77.75,2977.57,44.56,257.64,226.73,104.89,621.44,127.80
05-Mar,121.42,78.52,3000.46,46.25,264.28,231.60,105.20,597.95,129.75
08-Mar,116.36,73.96,2951.95,47.51,255.31,227.39,105.03,563.00,123.20
09-Mar,121.09,78.53,3062.85,47.89,265.74,233.78,106.55,673.58,129.11
10-Mar,119.98,77.52,3057.64,48.29,264.90,232.42,107.78,668.06,127.87
11-Mar,121.96,81.23,3113.59,48.80,273.88,237.13,107.32,699.60,131.74
12-Mar,121.03,81.05,3089.49,48.82,268.40,235.75,107.81,693.73,129.98
15-Mar,123.99,82.50,3081.68,49.41,273.75,234.81,108.90,707.94,131.64
16-Mar,125.57,82.75,3091.86,49.67,279.28,237.71,111.34,676.88,133.65
17-Mar,124.76,82.63,3135.73,49.42,284.01,237.04,110.46,701.81,133.92
18-Mar,120.53,78.12,3027.99,48.80,278.62,230.72,107.62,653.16,129.75
19-Mar,119.99,79.06,3074.96,48.98,290.11,230.35,106.34,654.87,131.02
22-Mar,123.39,80.30,3110.87,50.30,293.54,235.99,107.57,670.00,134.09
23-Mar,122.54,78.38,3137.50,50.01,290.63,237.58,106.25,662.16,132.52
24-Mar,120.09,76.48,3087.07,49.65,282.14,235.46,104.97,630.27,127.18
25-Mar,120.59,76.22,3046.26,50.51,278.74,232.34,107.35,640.39,127.28
26-Mar,121.21,77.41,3052.03,52.57,283.02,236.48,109.90,618.71,132.99
29-Mar,121.39,77.14,3075.73,52.52,290.82,235.24,109.13,611.29,131.27
30-Mar,119.90,76.00,3055.29,51.77,288.00,231.85,110.27,635.62,130.11
31-Mar,122.15,78.50,3094.08,51.71,294.53,235.77,109.27,667.93,132.59
01-Apr,123.00,81.09,3161.00,51.98,298.66,242.35,109.38,661.75,137.79
05-Apr,125.90,81.43,3226.73,52.41,308.91,249.07,111.02,691.05,140.33
06-Apr,126.21,81.44,3223.82,52.03,306.26,247.86,113.15,691.62,138.06
07-Apr,127.90,82.20,3279.39,51.77,313.09,249.90,113.19,670.97,139.43
08-Apr,130.36,83.35,3299.30,51.91,313.02,253.25,113.04,683.80,140.34
09-Apr,133.00,82.76,3372.20,52.09,312.46,255.85,113.18,677.02,140.57
12-Apr,131.24,78.58,3379.39,51.57,311.54,255.91,113.81,701.98,137.44
13-Apr,134.43,80.19,3400.00,51.66,309.76,258.49,115.36,762.32,137.30
